PP3%OH,,PP1%OH,,PP0.5%OH,,PPOHREF,
X,Y,X,Y,X,Y,X,Y
0.1074217752885509,2.3838659309440557,0.12271764688657805,2.2787201704545454,0.14859014860942524,2.255820640036046,0.10991030856404987,2.237217001748252
0.14467438594850776,2.3836596736596736,0.15420589153380304,2.2785200229458042,0.19884808605945625,2.2557627445254265,0.13850979364820662,2.2371706129332827
0.18956390563755232,2.383689138986014,0.19329022192468776,2.278517282995174,0.26241598860465054,2.2557801573426577,0.1759339124728125,2.23722119045136
0.25647449932855515,2.3837333369755247,0.2434542023432622,2.2784819024053506,0.345416844975233,2.2557801573426577,0.21783345972307702,2.2372906650641027
0.33451759872742254,2.383512347027972,0.345416844975233,2.2785059094986546,0.4546704544455097,2.2557801573426577,0.2726401969402883,2.237217001748252
0.4546704544455097,2.383512347027972,0.45183946462556185,2.2784819024053506,0.5984804306822639,2.2557801573426577,0.43431470128296973,2.237217001748252
0.5984804306822639,2.383512347027972,0.5972357044647465,2.2784818519548633,0.7877767785602928,2.2557801573426577,0.54949038438485,2.237217001748252
0.7877767785602928,2.383512347027972,0.7894186201355619,2.2784819276305948,1.0369466084820218,2.2557801573426577,0.6828079177847998,2.2371433384324013
1.0134685910527508,2.383512347027972,1.044892862866706,2.2785087808685573,1.3649276014551512,2.2557801573426577,1.0683070061130364,2.2371433384324013
1.334023605285504,2.383216346153846,1.3545475306141233,2.2784596719913237,1.7966473316706093,2.2557801573426577,1.351610769094403,2.2371433384324013
1.7721283596260535,2.3831587631118882,1.7802639438654007,2.2783958304509193,2.36491783956732,2.2557801573426577,1.7162108105682554,2.23706967511655
2.3541104599260994,2.3832471590909092,2.36491783956732,2.2784095279720282,3.112929448821365,2.2557801573426577,2.1480081800987487,2.2371433384324013
3.303917105559544,2.3829819711538462,3.1415770718584044,2.2784095279720282,4.097533365096606,2.2557801573426577,3.3486521461224266,2.2371433384324013
4.429342305501322,2.3828051791958043,4.1289332869464435,2.278379027503626,5.393562544257776,2.2557801573426577,4.20838921247288,2.2371433384324013
5.910988658880619,2.382702050553613,5.35254530551543,2.2784684586247086,7.099519229451006,2.2557801573426577,5.295736050479327,2.23706967511655
7.888256204994474,2.3823631993006993,6.938775527851459,2.2785175675019427,9.345061427535681,2.2557801573426577,6.664027232373552,2.2369960118006995
10.241570698668458,2.381918524184149,9.345061427535681,2.278440340909091,12.30085732032989,2.2557801573426577,8.364914088026577,2.2369451776866964
13.48092796149905,2.3813024475524474,12.877382164090863,2.2783053641877755,16.19155657653227,2.2557801573426577,10.526207263299847,2.2368460973138444
17.74487762182369,2.3813024475524474,16.315634543892116,2.27805283862976,21.312864424315986,2.2554136410558914,16.54666905714873,2.2367013585372963
23.25075226689077,2.38059527972028,21.150783269012404,2.2780213030192966,28.05401616714464,2.2552335334765994,20.66635482803333,2.236724187739144
30.745350598852735,2.3800501711829836,27.79819532893231,2.2779202446612286,36.9273602758195,2.255117742455361,26.139450834888983,2.236654969722327
40.46995024191483,2.3793135380244754,36.9273602758195,2.2777465581293708,48.60729846363972,2.2551981528867766,32.94113162377326,2.2366276952214457
53.270391805002845,2.3789452214452216,48.60729846363972,2.277668874582429,63.981542311337535,2.255157947671069,51.61030158559335,2.2365540319055945
70.11954860570751,2.3776192817599067,63.981542311337535,2.277490012340264,84.21858210448963,2.255037332023946,65.44553873674217,2.236480368589744
92.29800889518566,2.376219678758741,82.68962911988558,2.2772510639662022,110.85649572460872,2.2548961975524477,81.25658457244681,2.2365540319055945
121.49140454281759,2.3745254224941723,109.84561009994151,2.2768457953918677,145.91984734548345,2.2548961975524477,103.02108689260007,2.236505785646745
159.91852429393478,2.3726101762820515,145.91984734548345,2.2765227119441858,192.07356059878148,2.2548961975524477,129.63926487591274,2.2365794489625963
210.49994860613174,2.370179286858974,193.2769930948495,2.2765510037795798,256.99529132847863,2.254775859383005,163.9526395012349,2.2365540319055945
277.0800228355069,2.367159090909091,252.8254610474396,2.275839636326611,332.79288182392236,2.254557344811504,205.79894050711252,2.236528614848593
364.71903942445266,2.3637705783799534,327.83835787533934,2.275169377216654,427.06308305748854,2.2542509432299456,323.5055966222268,2.2364549515327425
480.07783584479114,2.3598664226398602,401.6126430571479,2.274696486648408,554.5534180599351,2.253954342251619,406.07524975207326,2.2363304541028888
631.924038934519,2.355520287004662,509.4069352402444,2.273830389780674,693.8890541145724,2.253794716484379,514.8421362990459,2.2363076249010407
831.7984317701724,2.350879498106061,650.9249827883086,2.272952329482777,997.2771390509788,2.253001902152629,797.2572635462035,2.236333041958042
1094.8920890268787,2.345870392628205,803.9147560545271,2.2721976907000454,1240.147025575221,2.2521940931937383,993.2671558893086,2.2362085445281883
1434.6148372211867,2.340993881118881,1009.2449118991785,2.2711097590905225,1583.341789296212,2.2516639947972927,1265.625042740382,2.2362822078440394
1854.093610973869,2.3367508741258742,1262.256513403452,2.2696782603641554,1996.904292635127,2.251199815006458,1584.689100488502,2.2361094641553363
2602.159797037529,2.3314471153846155,1566.3765847850307,2.268375262684151,3181.431380338319,2.2495879652697264,2009.1466356628111,2.2362365494403433
3456.731315951546,2.3270273164335666,1981.114866271107,2.266916588797086,3897.5415197239017,2.248593805174443,3150.391940360764,2.2361628861244927
4529.284743082534,2.323476744609557,2533.4562340406183,2.265543870192308,4932.7291170078415,2.2479021110597635,3974.3007660033545,2.236081459243181
6241.299858639928,2.3193515989219113,3142.254898505599,2.2641454193297093,6253.95612743054,2.247071850716391,4963.797217426376,2.235936720466633
8215.391589434443,2.316331402972028,3956.533313331422,2.262467274853454,7863.283369893382,2.246418900646106,6215.170435043535,2.235888474207784
9792.232478655835,2.3143248143452637,5007.2039969774605,2.2609629493523706,9846.311960826664,2.2459761892189345,7879.898186836361,2.2359113034096314
,,6347.686140347806,2.259861035690365,0.11013493678270027,2.255842196151189,0.3411467861752213,2.2372847551473836
,,7829.2430731528375,2.2587889190837878,2528.495277125854,2.2503163913043127,0.851237493941947,2.2372847551473836
,,9643.861865111328,2.2579163024475526,833.4490970178458,2.2534491817122624,2.67703201757971,2.2372191402353483
,,0.2904263430599958,2.278482557220551,,,13.126998089511133,2.236881416423403
,,,,,,259.7189981157219,2.236591938870307
,,,,,,638.7920268027004,2.23639895383491
,,,,,,2513.789004971349,2.2363024613172113
,,,,,,9793.892122471967,2.2359164912464164
,,,,,,41.32818215675746,2.236768419825477
